FULL NAME,AGE,GENDER,JOB TITLE/ ROLE,JOB FUNCTION,EMPLOYEE SIZE WORKS IN YOUR COMPANY,REMOTE POLICY,Tenure at Company (Months),Prior Remote Experience (years),Household Situation,Home Workspace,Hours worked per week,Productivity change (1 to 5),Tasks completed per week,Deep work hours per day,Work quality (self-rated 1 to 5),Interruptions frequency (1 - 5),Synchronous meetings per week,Average meeting length (Minutes),Response time to colleagues,Collaboration tools used,I have felt cheerful and in good spirits. (1 - 5),I have felt calm and relaxed. (1 - 5),I have felt active and vigorous. (1 - 5),I woke up feeling fresh and rested. (1 - 5),My daily life has been filled with things that interest me. (1 - 5),I feel emotionally exhausted by my work. (1 - 5),I feel tired after the workday. (1 - 5),I feel worn out because of my job. (1 - 5),Work-life balance satisfaction. (1 - 5),Sleep hours per night,Social isolation level (1 - 5),Awareness of monitoring,Was monitoring policy explained?,Trust in employer's data handling (1 - 5),Privacy concern matrix   [App usage logs],Privacy concern matrix   [Calendar metadata],Privacy concern matrix   [Email metadata],Privacy concern matrix   [Email content],Privacy concern matrix   [Keystrokes],Privacy concern matrix   [Screenshots],Privacy concern matrix   [Webcam images],Privacy concern matrix   [Location data],Privacy concern matrix   [Biometrics],What privacy controls would increase your willingness to share data?,Well_being_Score,Productivity_Score,Burnout_Score,Privacy_Concern_Score,All_Text_Data,GENDER_Encoded,JOB FUNCTION_Encoded,EMPLOYEE SIZE WORKS IN YOUR COMPANY_Encoded,REMOTE POLICY_Encoded,Household Situation_Encoded
Nilu Sharma,27,Female,Sr. Operation manager,Operations,5001+,Hybrid,14,2,With Partner,Dedicated Room,35,4,4,6,4,3,3,60,1-4 hours,"Zoom,Google Meet,Jira",5,5,5,3,3,1,2,1,4,8,2,Yes,Yes,3,,,,,,,,,,,4.4,4.0,1.3333333333333333,,"Sr. Operation manager Zoom,Google Meet,Jira",0,2,3,2,3
Sanit Pai,47,Female,Software Developer / Engineer,Software Development,1001-5000,Flexible/ Variable,24,1,Live Alone,Dedicated Room,40,5,3,7,5,2,2,90,15-60 minutes,"MS Teams,Jira,Notion,discord",4,5,3,3,4,2,4,2,5,7,1,Not Sure,No,4,,,,,,,,,,,4.0,4.0,2.6666666666666665,,"Software Developer / Engineer MS Teams,Jira,Notion,discord",0,5,1,0,0
Sadeem Vaze,27,Male,Data Architect,Software Development,01-Oct,Flexible/ Variable,91,2,With Partner,Desk In Shared Room,49,3,4,5,3,3,11,146,15-60 minutes,"google meet,MS teams,zoom",3,3,3,3,4,2,4,5,3,7,1,Not Sure,No,1,,,,,,,,,,,3.0,3.5,3.6666666666666665,,"Data Architect google meet,MS teams,zoom",1,5,0,0,3
Vidhi Fadnavis,45,Female,Technical Sales Engineer,Sales,01-Oct,Fully Remote,168,5,Shared Accommodation,Shared Space(Kitchen/Living Room),40,3,4,6,2,5,11,115,>24 hours,"zoom,MS teams,email,notion",4,3,4,4,3,4,2,4,1,7,2,Not Sure,Don't Know,4,,,,,,,,,,,3.2,3.5,3.3333333333333335,,"Technical Sales Engineer zoom,MS teams,email,notion",0,4,0,1,1
Haresh Joshi,40,Male,Solutions Consultant,Software Development,Nov-50,Hybrid,20,3,Live Alone,Co-Working Space,34,4,2,4,5,4,8,145,1-4 hours,"jira,notion,email,google meet",4,1,4,2,3,4,3,1,2,8,4,Not Sure,Don't Know,5,,,,,,,,,,,2.6,3.0,2.6666666666666665,,"Solutions Consultant jira,notion,email,google meet",1,5,5,2,0
Tanmay Issac,45,Male,QA Engineer / Test Engineer,Software Development,201-1000,Fully Remote,162,3,With Children,Desk In Shared Room,45,5,3,10,4,3,2,127,<15 minutes,"email,jira",1,1,1,3,2,2,1,2,4,7,3,No,No,4,,,,,,,,,,,2.0,4.0,1.6666666666666667,,"QA Engineer / Test Engineer email,jira",1,5,2,1,2
Tanya Chaturvedi,23,Female,AR/VR Developer,Software Development,1001-5000,Fully Remote,103,1,Live Alone,Dedicated Room,25,5,5,6,2,4,9,86,1-4 hours,"zoom,notion",3,3,5,2,2,5,1,4,3,8,4,No,No,4,,,,,,,,,,,3.2,5.0,3.3333333333333335,,"AR/VR Developer zoom,notion",0,5,1,1,0
Demian Kasliwal,34,Male,Talent Acquisition Manager,HR,51-200,Office- First,56,5,With Partner,Desk In Shared Room,45,5,7,8,1,4,1,125,1-4 hours,"MS teams,notion,asana,slack,google meet",3,5,2,4,1,4,4,5,1,7,1,No,No,4,,,,,,,,,,,3.0,6.0,4.333333333333333,,"Talent Acquisition Manager MS teams,notion,asana,slack,google meet",1,1,4,3,3
Komal Hegde,33,Female,Release Engineer,Software Development,1001-5000,Fully Remote,140,1,Live Alone,Co-Working Space,44,5,7,6,1,4,9,96,1-4 hours,"MS teams,asana,zoom,email",5,5,1,5,2,3,4,1,1,6,4,No,No,5,,,,,,,,,,,3.4,6.0,2.6666666666666665,,"Release Engineer MS teams,asana,zoom,email",0,5,1,1,0
Vishar Aradhyula,48,Male,Kubernetes Engineer,Operations,Nov-50,Office- First,15,1,Shared Accommodation,Co-Working Space,19,2,7,6,2,4,4,74,15-60 minutes,"jira,zoom,MS teams,google meet,notion",5,3,1,1,3,1,2,4,3,8,3,No,No,4,,,,,,,,,,,2.6,4.5,2.3333333333333335,,"Kubernetes Engineer jira,zoom,MS teams,google meet,notion",1,2,5,3,1
